"","lat","lon","IFd","GIn","HIn","IFr","Crn","Pln","Frg","Nct","Grn"
"8961",40.5,-91.5,42,69,47,27,24,15,1,1,27
"8960",40.5,-92.5,40,66,45,27,24,15,1,1,26
"8959",40.5,-93.5,39,64,46,27,23,16,1,1,27
"8957",40.5,-95.5,44,67,47,28,24,17,1,1,28
"9089",40.5,108.5,25,37,37,12,20,20,0,0,17
"9090",40.5,109.5,28,36,35,15,19,21,0,0,18
"8997",40.5,15.5,48,53,23,25,25,10,0,1,15
"8998",40.5,16.5,44,52,32,25,23,9,0,1,14
"8999",40.5,17.5,35,50,22,23,19,6,0,1,11
"9001",40.5,19.5,45,72,42,26,26,8,0,1,18
"9002",40.5,20.5,56,70,36,26,27,16,0,1,17
"9003",40.5,21.5,59,74,43,24,30,18,0,1,19
"9004",40.5,22.5,62,80,44,26,32,16,0,1,20
"9005",40.5,23.5,59,70,39,26,29,13,0,0,20
"9026",40.5,44.5,50,62,56,25,29,21,0,0,22
"9027",40.5,45.5,62,81,60,29,32,19,0,0,25
"9028",40.5,46.5,62,82,55,26,31,18,0,0,24
"9029",40.5,47.5,57,83,58,26,33,19,0,0,20
"9030",40.5,48.5,56,77,57,28,32,21,0,0,18
"9034",40.5,53.5,36,35,30,16,24,12,0,0,13
"9035",40.5,54.5,37,37,34,16,24,16,0,0,13
"9036",40.5,55.5,37,36,35,16,25,14,0,0,14
"9037",40.5,56.5,37,37,37,16,23,13,0,0,14
"9038",40.5,57.5,33,37,37,16,22,12,0,0,13
"9039",40.5,58.5,34,36,35,16,22,11,0,0,12
"9040",40.5,59.5,36,45,34,14,22,11,0,0,12
"9043",40.5,62.5,40,57,41,16,28,14,0,0,16
"9047",40.5,66.5,44,55,53,16,30,15,0,0,20
"9051",40.5,70.5,57,68,57,21,31,19,0,0,27
"9053",40.5,72.5,57,67,52,19,30,21,1,0,27
"9054",40.5,73.5,56,69,54,20,28,21,1,0,27
"9056",40.5,75.5,46,58,49,21,26,21,0,0,25
"9801",41.5,-0.5,49,63,35,24,23,12,0,0,16
"9800",41.5,-1.5,48,61,34,26,25,14,0,0,16
"9759",41.5,-103.5,40,52,43,26,28,22,1,0,30
"9758",41.5,-104.5,39,55,46,28,31,26,1,0,31
"9757",41.5,-105.5,41,55,49,31,33,30,1,1,32
"9750",41.5,-112.5,45,58,51,26,30,29,1,1,25
"9748",41.5,-114.5,46,53,47,27,28,27,2,1,25
"9747",41.5,-115.5,44,52,45,25,28,25,2,1,25
"9746",41.5,-116.5,46,49,44,24,28,24,2,1,25
"9744",41.5,-118.5,48,48,46,23,27,24,1,1,24
"9743",41.5,-119.5,49,51,46,24,27,25,1,1,27
"8926",41.5,-121.5,46,50,52,25,32,32,2,2,22
"8924",41.5,-123.5,49,52,50,24,29,30,2,1,19
"9799",41.5,-2.5,45,60,35,25,25,11,0,0,17
"9798",41.5,-3.5,49,63,32,25,25,13,0,0,16
"9796",41.5,-5.5,48,59,32,24,26,12,0,0,14
"9795",41.5,-6.5,48,55,30,24,25,13,0,0,13
"9794",41.5,-7.5,45,51,24,23,23,12,0,0,11
"9791",41.5,-71.5,41,78,46,30,23,15,1,1,19
"9790",41.5,-72.5,41,81,47,32,23,15,1,1,19
"9788",41.5,-74.5,39,70,46,28,23,17,1,1,19
"9787",41.5,-75.5,39,67,47,27,24,17,1,1,19
"9786",41.5,-76.5,38,69,43,25,23,19,1,1,19
"9785",41.5,-77.5,39,68,44,26,23,17,1,1,20
"9784",41.5,-78.5,37,68,44,26,23,16,1,1,19
"9783",41.5,-79.5,36,70,44,27,23,14,1,1,18
"9793",41.5,-8.5,45,48,23,26,21,7,0,0,13
"9782",41.5,-80.5,38,68,44,28,22,13,1,1,20
"9781",41.5,-81.5,38,67,44,29,21,13,1,1,21
"9780",41.5,-82.5,36,69,46,29,22,13,1,1,21
"9779",41.5,-83.5,36,68,42,28,23,13,1,1,24
"9776",41.5,-86.5,38,65,44,28,23,17,1,1,24
"9775",41.5,-87.5,39,64,46,28,22,16,1,1,24
"9773",41.5,-89.5,40,67,47,28,23,16,1,1,26
"9802",41.5,0.5,53,62,33,27,25,10,0,0,15
"9803",41.5,1.5,49,61,34,26,20,11,0,0,13
"9897",41.5,104.5,20,28,24,7,14,15,0,0,14
"9898",41.5,105.5,21,30,27,8,17,17,0,0,15
"9901",41.5,108.5,24,36,34,9,16,22,0,0,16
"9902",41.5,109.5,24,34,31,10,15,19,0,0,17
"9920",41.5,127.5,53,67,37,16,26,17,1,0,16
"9921",41.5,128.5,51,65,35,16,26,17,1,0,16
"9809",41.5,13.5,51,60,29,27,24,15,0,1,14
"9810",41.5,14.5,46,59,24,25,23,15,0,1,15
"9811",41.5,15.5,46,53,28,26,24,9,0,1,15
"9814",41.5,19.5,53,79,42,28,30,15,0,1,19
"9815",41.5,20.5,53,66,36,24,29,19,0,1,17
"9816",41.5,21.5,55,67,39,25,32,21,0,1,18
"9817",41.5,22.5,60,76,42,24,33,18,0,1,19
"9818",41.5,23.5,60,86,43,26,34,19,0,1,21
"9819",41.5,24.5,57,75,40,25,33,18,0,1,18
"9820",41.5,25.5,57,67,42,26,33,18,0,1,20
"9821",41.5,26.5,56,68,40,25,32,14,0,1,19
"9822",41.5,27.5,50,62,41,23,28,12,0,1,16
"9830",41.5,35.5,39,54,47,27,27,12,0,1,15
"9837",41.5,42.5,61,77,55,24,32,22,0,0,19
"9838",41.5,43.5,62,83,55,26,33,21,0,0,21
"9840",41.5,45.5,59,84,49,28,32,18,0,0,22
"9841",41.5,46.5,59,83,54,27,35,22,0,0,22
"9842",41.5,47.5,56,80,55,27,31,20,0,0,19
"9843",41.5,48.5,54,70,53,27,30,19,0,0,17
"9849",41.5,56.5,31,36,29,15,22,12,0,0,12
"9850",41.5,57.5,31,37,32,16,22,14,0,0,11
"9851",41.5,58.5,34,41,37,15,23,11,0,0,13
"9852",41.5,59.5,36,50,37,17,26,11,0,0,15
"9862",41.5,69.5,56,69,53,21,34,19,1,0,27
"9863",41.5,70.5,54,68,62,20,31,19,1,0,30
"9864",41.5,71.5,52,69,59,21,29,21,1,0,31
"9865",41.5,72.5,55,69,58,22,30,20,1,0,31
"9866",41.5,73.5,51,69,54,21,32,21,1,0,28
"9867",41.5,74.5,50,71,55,22,31,20,1,0,27
"9868",41.5,75.5,50,69,54,21,28,18,1,0,27
"9869",41.5,76.5,47,67,53,21,27,18,1,0,27
"9870",41.5,77.5,45,62,52,21,28,19,1,0,25
"9871",41.5,78.5,44,62,53,20,29,21,1,0,25
"9616",42.5,-0.5,53,62,37,26,25,20,0,0,16
"9615",42.5,-1.5,55,73,36,26,27,18,0,0,16
"9576",42.5,-100.5,34,56,41,27,27,22,1,0,32
"9573",42.5,-103.5,39,53,41,27,29,24,1,0,29
"9570",42.5,-106.5,43,55,42,27,32,28,1,1,29
"9569",42.5,-107.5,40,53,43,24,31,28,1,1,27
"9565",42.5,-111.5,43,57,47,28,33,30,2,2,24
"9562",42.5,-114.5,44,51,47,27,29,26,1,1,24
"9559",42.5,-117.5,44,48,46,22,28,25,1,2,24
"9555",42.5,-121.5,47,54,53,27,32,33,2,2,24
"9614",42.5,-2.5,49,73,36,27,27,14,0,0,16
"9613",42.5,-3.5,46,65,34,25,26,15,0,0,15
"9612",42.5,-4.5,47,59,33,24,25,17,0,0,15
"9611",42.5,-5.5,46,63,34,25,26,17,0,0,17
"9610",42.5,-6.5,44,52,33,25,25,16,0,0,14
"9605",42.5,-71.5,39,69,45,26,23,16,1,1,19
"9600",42.5,-76.5,38,69,45,27,22,17,1,1,18
"9597",42.5,-79.5,35,66,46,29,21,14,1,1,18
"9608",42.5,-8.5,36,53,24,26,18,9,0,0,13
"9596",42.5,-80.5,37,67,47,28,24,13,1,1,21
"9595",42.5,-81.5,38,71,47,29,24,13,1,1,22
"9594",42.5,-82.5,37,69,45,28,24,12,1,1,22
"9593",42.5,-83.5,38,68,46,27,23,12,1,1,23
"9585",42.5,-91.5,36,66,47,28,26,17,1,1,26
"9617",42.5,0.5,49,57,36,25,23,18,0,0,16
"9618",42.5,1.5,50,56,35,27,25,16,0,0,16
"9705",42.5,104.5,22,28,27,8,15,17,0,0,13
"9706",42.5,105.5,23,28,27,9,15,17,0,0,13
"9707",42.5,106.5,24,28,30,9,14,18,0,0,13
"9708",42.5,107.5,23,28,31,9,14,20,0,0,13
"9709",42.5,108.5,24,29,30,9,13,19,0,0,13
"9710",42.5,109.5,24,30,30,10,14,17,0,0,14
"9624",42.5,11.5,50,65,33,26,21,9,0,1,14
"9625",42.5,12.5,50,64,33,26,23,11,0,1,14
"9728",42.5,127.5,52,68,40,17,26,16,1,0,18
"9729",42.5,128.5,54,70,38,17,27,15,1,0,17
"9626",42.5,13.5,48,62,28,27,22,15,0,1,15
"9731",42.5,130.5,59,75,39,24,29,15,1,0,18
"9631",42.5,18.5,53,67,38,26,23,16,0,1,19
"9632",42.5,19.5,56,69,37,25,29,20,0,1,19
"9619",42.5,2.5,57,72,38,28,27,16,0,0,14
"9633",42.5,20.5,50,64,33,24,27,20,0,1,17
"9634",42.5,21.5,54,65,37,24,30,19,0,1,18
"9635",42.5,22.5,53,58,37,23,33,16,0,1,18
"9636",42.5,23.5,53,57,38,23,35,18,0,1,18
"9637",42.5,24.5,54,61,40,24,32,17,0,1,18
"9638",42.5,25.5,54,62,40,24,33,17,0,1,18
"9639",42.5,26.5,54,61,42,24,32,15,0,1,15
"9646",42.5,42.5,58,78,53,25,32,17,0,0,18
"9647",42.5,43.5,61,78,53,26,34,20,0,0,18
"9648",42.5,44.5,60,74,52,27,33,21,0,0,19
"9649",42.5,45.5,56,73,52,25,32,19,0,0,18
"9650",42.5,46.5,56,72,52,26,31,22,0,0,20
"9651",42.5,47.5,50,71,52,29,31,19,0,0,19
"9655",42.5,54.5,29,29,26,15,21,12,0,0,10
"9671",42.5,70.5,52,71,60,21,32,22,1,0,30
"9672",42.5,71.5,52,68,61,22,34,22,1,0,30
"9673",42.5,72.5,49,69,64,22,32,23,1,0,30
"9674",42.5,73.5,50,70,65,23,33,21,1,0,28
"9675",42.5,74.5,50,74,64,22,35,22,1,0,28
"9676",42.5,75.5,50,72,61,23,35,23,1,0,27
"9677",42.5,76.5,45,71,56,23,34,23,1,0,27
"9678",42.5,77.5,44,71,56,23,32,23,1,0,27
"9679",42.5,78.5,43,66,55,22,32,23,1,0,26
"9680",42.5,79.5,42,67,55,20,32,27,1,0,26
"9697",42.5,96.5,18,27,26,6,14,19,0,0,15
"9698",42.5,97.5,17,26,26,6,11,17,0,0,14
"9699",42.5,98.5,19,27,26,6,13,18,0,0,14
"9700",42.5,99.5,19,28,24,6,11,18,0,0,13
"9494",43.5,-0.5,48,53,33,24,23,16,0,0,14
"9493",43.5,-1.5,52,65,37,30,25,15,0,0,13
"9449",43.5,-103.5,42,54,42,28,30,29,1,0,29
"9441",43.5,-111.5,40,52,45,28,34,32,1,1,23
"9432",43.5,-120.5,46,46,48,27,29,22,1,3,23
"9431",43.5,-121.5,50,51,52,27,34,30,2,3,24
"9430",43.5,-122.5,46,47,52,24,31,33,2,2,23
"9489",43.5,-5.5,41,58,29,28,21,17,0,0,13
"9488",43.5,-6.5,37,49,26,28,22,16,0,0,12
"9487",43.5,-7.5,34,55,28,26,19,11,0,0,11
"9482",43.5,-70.5,40,75,49,30,23,17,1,1,18
"9476",43.5,-76.5,36,68,46,28,22,16,1,1,18
"9475",43.5,-77.5,36,67,46,29,22,17,1,1,19
"9474",43.5,-78.5,36,65,46,29,22,16,1,1,19
"9473",43.5,-79.5,37,70,49,29,25,16,1,1,20
"9472",43.5,-80.5,37,70,47,28,25,15,1,1,20
"9471",43.5,-81.5,39,70,46,27,25,15,1,1,21
"9461",43.5,-91.5,36,66,49,28,27,18,1,1,26
"9454",43.5,-98.5,36,58,43,27,28,19,1,1,31
"9495",43.5,0.5,45,44,32,25,19,13,0,1,14
"9496",43.5,1.5,48,51,34,26,20,12,0,1,15
"9505",43.5,10.5,50,66,33,27,18,11,0,1,13
"10395",43.5,100.5,21,28,25,5,14,21,0,0,14
"10396",43.5,101.5,20,29,26,6,17,19,0,0,15
"10397",43.5,102.5,20,28,29,7,17,18,0,0,14
"10398",43.5,103.5,21,30,30,8,16,18,0,0,14
"10399",43.5,104.5,21,30,30,9,16,17,0,0,14
"10403",43.5,108.5,22,29,26,9,14,16,0,0,13
"10404",43.5,109.5,23,27,29,9,14,16,0,0,13
"9506",43.5,11.5,49,56,28,22,20,12,0,1,15
"10410",43.5,115.5,32,38,28,13,19,24,0,0,18
"10411",43.5,116.5,33,43,31,14,18,23,0,0,22
"9507",43.5,12.5,51,57,26,24,22,11,0,1,14
"9508",43.5,13.5,48,56,30,26,18,8,0,1,13
"10426",43.5,131.5,59,73,40,20,32,15,2,0,20
"10427",43.5,132.5,60,75,39,20,32,15,2,0,21
"10428",43.5,133.5,59,73,39,19,29,16,2,0,21
"10429",43.5,134.5,58,68,37,20,29,17,2,0,18
"9511",43.5,17.5,57,66,38,27,27,19,0,1,19
"9512",43.5,18.5,52,52,33,23,24,18,0,1,18
"9513",43.5,19.5,50,49,31,24,29,18,0,1,17
"9497",43.5,2.5,48,55,35,27,22,13,0,1,15
"9514",43.5,20.5,50,50,33,24,31,14,0,1,16
"9515",43.5,21.5,54,55,35,24,30,13,0,1,16
"9516",43.5,22.5,53,58,37,25,31,14,0,1,18
"9517",43.5,23.5,53,64,40,25,32,14,0,1,16
"9518",43.5,24.5,52,56,39,26,33,15,0,1,14
"9519",43.5,25.5,53,63,41,25,34,17,0,1,15
"9520",43.5,26.5,51,56,40,25,34,14,0,1,14
"9521",43.5,27.5,51,63,44,23,33,16,0,1,16
"9522",43.5,28.5,48,68,45,27,29,18,0,1,14
"9498",43.5,3.5,51,67,43,29,22,13,0,0,14
"9499",43.5,4.5,51,70,42,27,21,14,0,0,14
"9524",43.5,40.5,54,71,49,26,32,19,0,0,18
"9525",43.5,41.5,57,70,53,28,34,19,0,0,19
"9526",43.5,42.5,55,69,53,27,34,20,0,0,20
"9527",43.5,43.5,55,68,50,29,34,23,0,0,18
"9528",43.5,44.5,51,70,50,26,35,23,0,0,18
"9530",43.5,46.5,48,68,53,24,32,21,0,0,18
"9531",43.5,47.5,42,60,51,21,31,16,0,0,13
"9500",43.5,5.5,54,67,37,28,23,12,0,1,14
"9533",43.5,51.5,29,32,24,16,21,11,0,0,8
"9536",43.5,54.5,28,31,25,13,21,12,0,0,11
"9501",43.5,6.5,50,65,37,27,22,14,0,1,15
"10372",43.5,77.5,48,79,71,22,38,31,1,0,29
"10373",43.5,78.5,44,73,67,22,38,32,1,0,30
"10374",43.5,79.5,44,70,60,21,34,31,1,0,30
"10390",43.5,95.5,19,30,27,7,15,18,0,0,15
"10391",43.5,96.5,21,28,24,7,17,19,0,0,13
"10392",43.5,97.5,19,27,23,8,14,20,0,0,13
"10393",43.5,98.5,21,30,23,8,14,20,0,0,13
"10394",43.5,99.5,22,29,25,6,13,20,0,0,13
"10226",44.5,-0.5,45,54,31,26,23,12,0,0,12
"10183",44.5,-103.5,40,52,40,30,29,26,1,0,28
"10182",44.5,-104.5,37,52,43,27,29,26,1,0,28
"10177",44.5,-109.5,40,48,45,28,34,34,1,0,27
"10176",44.5,-110.5,39,50,45,27,35,37,1,0,23
"10175",44.5,-111.5,37,52,42,27,36,36,1,2,22
"10174",44.5,-112.5,40,50,45,26,35,32,1,2,23
"10170",44.5,-116.5,46,54,50,27,34,32,1,2,22
"10167",44.5,-119.5,44,54,48,24,30,25,1,2,20
"10166",44.5,-120.5,45,48,47,23,30,22,1,3,24
"10165",44.5,-121.5,45,48,54,25,33,29,1,3,25
"10164",44.5,-122.5,42,47,50,21,31,32,1,2,20
"10163",44.5,-123.5,46,54,44,21,29,29,1,2,16
"10222",44.5,-64.5,29,57,40,25,19,11,1,1,16
"10221",44.5,-65.5,29,56,39,25,19,11,1,1,15
"10218",44.5,-68.5,35,73,44,29,24,15,1,1,17
"10216",44.5,-70.5,34,61,42,26,25,16,1,1,17
"10212",44.5,-74.5,36,65,45,25,24,16,1,1,18
"10211",44.5,-75.5,37,66,46,26,26,15,1,1,19
"10210",44.5,-76.5,37,66,45,24,28,16,1,1,19
"10209",44.5,-77.5,36,66,46,24,28,16,1,1,20
"10208",44.5,-78.5,38,66,42,26,29,16,1,1,21
"10207",44.5,-79.5,38,66,45,27,30,16,1,1,21
"10206",44.5,-80.5,37,68,43,28,27,15,1,1,20
"10205",44.5,-81.5,37,66,41,28,26,14,1,1,20
"10203",44.5,-83.5,34,68,45,28,24,14,1,1,21
"10201",44.5,-85.5,33,66,45,26,24,15,1,1,21
"10195",44.5,-91.5,36,69,50,27,26,18,1,1,25
"10190",44.5,-96.5,35,57,45,27,25,16,1,1,26
"10189",44.5,-97.5,35,61,43,26,27,18,1,1,28
"10188",44.5,-98.5,33,57,41,26,28,18,1,1,30
"10227",44.5,0.5,46,52,29,26,21,11,0,1,15
"10228",44.5,1.5,50,51,31,25,21,11,0,1,15
"10237",44.5,10.5,47,63,31,25,19,13,0,1,13
"10321",44.5,100.5,20,38,30,9,17,24,0,0,15
"10322",44.5,101.5,20,39,28,9,17,23,0,0,15
"10323",44.5,102.5,20,37,29,10,18,20,0,0,16
"10324",44.5,103.5,20,35,28,10,18,19,0,0,16
"10327",44.5,106.5,21,29,23,11,16,15,0,0,13
"10328",44.5,107.5,21,29,26,9,16,15,0,0,13
"10238",44.5,11.5,49,67,34,24,19,12,0,1,12
"10336",44.5,115.5,29,34,24,11,17,19,0,0,16
"10337",44.5,116.5,31,40,28,13,18,22,0,0,16
"10343",44.5,122.5,38,55,34,17,21,12,0,0,20
"10352",44.5,131.5,60,77,43,17,33,15,2,0,20
"10353",44.5,132.5,60,79,42,18,33,15,2,0,22
"10354",44.5,133.5,60,78,40,17,33,15,2,0,21
"10355",44.5,134.5,60,72,39,18,29,17,2,0,19
"10356",44.5,135.5,56,67,37,21,28,16,2,0,16
"10242",44.5,15.5,53,72,39,26,29,16,0,1,18
"10243",44.5,16.5,52,53,32,25,26,19,0,1,16
"10245",44.5,18.5,50,54,37,24,31,18,0,1,14
"10246",44.5,19.5,49,60,37,24,30,18,0,1,15
"10229",44.5,2.5,49,51,31,24,21,15,0,1,13
"10247",44.5,20.5,50,57,42,25,31,14,0,1,15
"10248",44.5,21.5,52,63,39,26,32,14,0,1,15
"10249",44.5,22.5,53,65,40,26,33,17,0,1,17
"10250",44.5,23.5,52,62,35,26,31,13,0,1,15
"10251",44.5,24.5,43,56,33,26,30,13,0,1,13
"10252",44.5,25.5,44,63,40,24,28,13,0,1,14
"10253",44.5,26.5,51,71,47,25,32,17,0,1,14
"10254",44.5,27.5,54,76,48,26,31,18,0,1,14
"10255",44.5,28.5,51,77,47,22,31,19,0,0,14
"10230",44.5,3.5,50,56,31,27,22,15,0,1,15
"10261",44.5,38.5,49,71,48,24,27,15,0,0,15
"10262",44.5,39.5,55,70,50,26,30,20,0,0,18
"10231",44.5,4.5,52,66,36,27,21,15,0,1,16
"10263",44.5,40.5,54,70,50,26,33,18,0,0,17
"10264",44.5,41.5,52,71,51,27,33,19,0,0,16
"10265",44.5,42.5,52,70,48,26,34,19,0,0,17
"10266",44.5,43.5,44,63,51,23,30,21,0,0,17
"10267",44.5,44.5,40,63,50,23,29,19,0,0,15
"10268",44.5,45.5,35,56,48,23,28,17,0,0,13
"10269",44.5,46.5,36,55,44,21,29,18,0,0,13
"10232",44.5,5.5,50,67,40,26,23,17,0,1,16
"10271",44.5,50.5,29,32,25,15,21,11,0,0,8
"10272",44.5,51.5,30,31,25,16,21,11,0,0,8
"10233",44.5,6.5,50,62,36,25,22,19,0,1,14
"10234",44.5,7.5,50,57,31,22,24,18,0,1,13
"10292",44.5,71.5,37,54,41,16,27,18,0,0,21
"10293",44.5,72.5,35,55,46,17,27,20,0,0,24
"10294",44.5,73.5,36,55,50,17,27,19,1,0,23
"10295",44.5,74.5,35,62,51,18,28,21,1,0,25
"10296",44.5,75.5,36,62,56,18,28,21,1,0,22
"10299",44.5,78.5,43,72,66,21,34,28,1,0,28
"10300",44.5,79.5,43,77,67,21,35,26,1,0,27
"10235",44.5,8.5,48,66,35,28,21,11,0,1,14
"10301",44.5,80.5,43,72,64,22,33,29,1,0,25
"10236",44.5,9.5,46,56,27,26,19,10,0,1,14
"10313",44.5,92.5,21,34,31,9,17,24,0,0,16
"10314",44.5,93.5,23,35,30,9,16,26,0,0,16
"10315",44.5,94.5,22,31,31,10,15,27,0,0,16
"10316",44.5,95.5,23,35,28,9,17,25,0,0,17
"10317",44.5,96.5,23,34,26,9,15,21,0,0,17
"10318",44.5,97.5,22,36,28,9,17,21,0,0,16
"10320",44.5,99.5,21,37,32,9,16,24,0,0,14
"10020",45.5,-0.5,45,60,32,27,22,12,0,1,13
"9969",45.5,-109.5,38,53,48,26,31,33,1,0,27
"9968",45.5,-110.5,40,51,47,26,34,37,1,0,24
"9967",45.5,-111.5,41,49,47,27,34,35,1,1,24
"9955",45.5,-123.5,47,48,41,22,26,31,1,2,17
"10017",45.5,-61.5,28,54,37,22,21,12,1,1,17
"10016",45.5,-62.5,29,62,41,25,20,12,1,1,16
"10015",45.5,-63.5,29,59,40,23,19,11,1,1,17
"10014",45.5,-64.5,31,68,42,28,20,11,1,1,17
"10013",45.5,-65.5,31,69,42,28,20,13,1,1,17
"10012",45.5,-66.5,31,65,41,23,22,15,1,1,17
"10011",45.5,-67.5,33,64,40,23,24,14,1,1,17
"10008",45.5,-70.5,32,52,40,25,25,15,1,1,17
"10007",45.5,-71.5,34,58,41,25,24,15,1,1,17
"10006",45.5,-72.5,35,64,42,25,25,14,1,1,17
"10005",45.5,-73.5,37,65,42,25,27,16,1,1,17
"10004",45.5,-74.5,37,64,42,24,29,16,1,1,19
"10003",45.5,-75.5,36,65,42,24,29,15,1,1,19
"10002",45.5,-76.5,36,64,42,25,29,15,1,1,19
"10001",45.5,-77.5,35,65,41,25,30,16,1,1,19
"10000",45.5,-78.5,34,66,41,25,30,15,1,1,20
"9999",45.5,-79.5,33,68,40,23,30,14,1,1,20
"9998",45.5,-80.5,33,66,38,24,30,14,1,1,19
"9994",45.5,-84.5,33,67,45,28,27,15,1,1,21
"9981",45.5,-97.5,34,59,44,26,28,15,1,1,29
"9980",45.5,-98.5,35,55,43,25,29,18,1,1,29
"9979",45.5,-99.5,34,53,42,25,30,18,1,1,30
"10021",45.5,0.5,44,56,32,24,21,12,0,1,14
"10022",45.5,1.5,43,47,33,24,20,13,0,1,15
"10031",45.5,10.5,54,73,40,25,19,20,0,1,14
"10118",45.5,100.5,19,44,32,11,20,26,0,0,17
"10119",45.5,101.5,19,40,31,11,20,25,0,0,17
"10126",45.5,108.5,22,29,25,12,19,19,0,0,14
"10032",45.5,11.5,52,67,36,25,19,18,0,1,14
"10133",45.5,115.5,28,37,23,11,18,14,0,0,14
"10134",45.5,116.5,28,41,25,12,20,17,0,0,15
"10140",45.5,122.5,38,58,32,17,20,17,0,0,19
"10149",45.5,131.5,57,80,37,17,30,19,1,0,20
"10150",45.5,132.5,58,76,36,18,30,20,1,0,21
"10151",45.5,133.5,59,79,41,17,32,19,2,0,20
"10152",45.5,134.5,60,76,40,18,32,20,2,0,19
"10153",45.5,135.5,52,69,40,18,27,19,2,0,18
"10154",45.5,136.5,51,67,37,20,27,19,1,0,15
"10035",45.5,14.5,53,67,37,26,27,17,0,1,17
"10036",45.5,15.5,51,59,37,24,28,20,0,1,15
"10037",45.5,16.5,54,60,37,24,27,17,0,1,14
"10038",45.5,17.5,49,56,38,25,27,13,0,1,13
"10039",45.5,18.5,48,58,41,26,31,14,0,1,13
"10040",45.5,19.5,51,58,42,26,30,16,0,1,13
"10023",45.5,2.5,44,52,33,22,21,15,0,1,15
"10041",45.5,20.5,51,58,43,25,29,16,0,1,13
"10042",45.5,21.5,49,58,38,23,32,14,0,1,13
"10043",45.5,22.5,52,58,37,25,32,18,0,1,16
"10044",45.5,23.5,52,60,37,25,30,16,0,1,15
"10045",45.5,24.5,50,65,38,25,29,19,0,1,17
"10046",45.5,25.5,49,59,38,26,30,18,0,1,16
"10047",45.5,26.5,47,62,40,26,29,19,0,1,13
"10048",45.5,27.5,46,68,43,25,29,18,0,1,13
"10049",45.5,28.5,49,80,50,27,33,19,0,1,13
"10050",45.5,29.5,48,81,51,25,33,17,0,0,14
"10024",45.5,3.5,46,59,33,24,21,13,0,1,15
"10053",45.5,33.5,45,61,51,23,26,11,0,0,15
"10054",45.5,34.5,45,67,52,23,26,14,0,0,15
"10058",45.5,38.5,46,68,51,23,28,16,0,0,14
"10059",45.5,39.5,45,64,48,25,30,16,0,0,15
"10025",45.5,4.5,50,67,36,25,23,16,0,1,15
"10060",45.5,40.5,44,67,46,25,30,16,0,0,14
"10061",45.5,41.5,41,62,47,26,31,18,0,0,14
"10062",45.5,42.5,35,57,49,24,29,18,0,0,14
"10063",45.5,43.5,32,57,45,24,29,16,0,0,14
"10064",45.5,44.5,30,52,47,23,29,15,0,0,13
"10065",45.5,45.5,26,53,46,21,28,15,0,0,12
"10066",45.5,46.5,27,53,43,20,29,16,0,0,12
"10067",45.5,47.5,29,57,44,19,29,16,0,0,14
"10026",45.5,5.5,54,69,39,24,25,18,0,1,17
"10069",45.5,51.5,27,31,24,14,21,9,0,0,8
"10077",45.5,59.5,14,22,16,7,9,12,0,0,5
"10027",45.5,6.5,51,60,34,26,23,22,0,1,16
"10078",45.5,60.5,16,26,16,9,14,12,0,0,5
"10028",45.5,7.5,52,57,32,23,23,19,0,1,14
"10092",45.5,74.5,31,50,47,17,26,15,0,0,19
"10093",45.5,75.5,33,51,48,17,27,17,0,0,20
"10029",45.5,8.5,51,68,41,25,22,17,0,1,15
"10098",45.5,80.5,40,75,65,21,33,31,1,0,28
"10099",45.5,81.5,40,76,64,20,32,29,1,0,27
"10100",45.5,82.5,40,73,55,20,33,29,0,0,26
"10030",45.5,9.5,52,69,38,25,21,18,0,1,14
"10108",45.5,90.5,23,37,39,10,21,26,0,0,15
"10109",45.5,91.5,22,38,36,10,20,27,0,0,16
"10110",45.5,92.5,22,41,36,11,20,27,0,0,17
"10111",45.5,93.5,24,40,35,12,20,27,0,0,17
"10112",45.5,94.5,24,42,36,11,20,28,0,0,18
"10113",45.5,95.5,24,42,35,10,20,26,0,0,19
"10114",45.5,96.5,23,42,35,10,19,24,0,0,19
"10116",45.5,98.5,20,43,33,10,19,23,0,0,17
"10117",45.5,99.5,19,46,31,11,19,24,0,0,17
"10789",46.5,-0.5,41,57,33,26,22,12,0,1,14
"10788",46.5,-1.5,41,70,33,30,21,11,0,1,14
"10742",46.5,-100.5,32,56,42,25,29,19,1,0,30
"9952",46.5,-111.5,43,52,46,24,33,33,1,1,26
"9951",46.5,-112.5,43,51,49,25,32,33,1,1,23
"9950",46.5,-113.5,42,49,45,25,32,31,1,1,22
"9944",46.5,-119.5,41,49,50,18,30,25,1,3,21
"9943",46.5,-120.5,43,52,53,16,32,28,1,3,21
"9941",46.5,-122.5,42,46,47,22,26,27,1,2,17
"9940",46.5,-123.5,45,46,42,23,24,25,1,2,14
"10779",46.5,-63.5,27,55,40,23,19,11,1,1,16
"10777",46.5,-65.5,29,56,39,23,21,14,1,1,15
"10776",46.5,-66.5,28,53,37,23,23,14,1,1,15
"10775",46.5,-67.5,28,49,36,23,26,13,1,1,17
"10774",46.5,-68.5,28,50,37,23,25,13,1,1,16
"10772",46.5,-70.5,31,56,38,24,26,13,1,1,17
"10771",46.5,-71.5,32,62,39,24,29,13,1,1,17
"10770",46.5,-72.5,32,59,39,23,28,13,1,1,17
"10769",46.5,-73.5,32,59,38,24,28,14,1,1,17
